Gestational Age (weeks)	Measure	3rd Percentile	5th Percentile	10th Percentile	50th Percentile	90th Percentile	95th Percentile	97th Percentile	SourceFile	ParseTimestamp
14	Occipito-Frontal Diameter	30.1	30.6	31.3	33.8	36.2	36.9	37.4	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
15	Occipito-Frontal Diameter	34.4	34.9	35.6	38.3	41.0	41.7	42.2	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
16	Occipito-Frontal Diameter	38.6	39.2	40.0	42.8	45.7	46.5	47.0	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
17	Occipito-Frontal Diameter	42.9	43.5	44.3	47.4	50.4	51.3	51.8	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
18	Occipito-Frontal Diameter	47.1	47.7	48.6	51.9	55.1	56.0	56.6	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
19	Occipito-Frontal Diameter	51.3	51.9	52.9	56.3	59.7	60.7	61.3	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
20	Occipito-Frontal Diameter	55.5	56.1	57.1	60.7	64.2	65.3	65.9	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
21	Occipito-Frontal Diameter	59.6	60.2	61.3	65.0	68.7	69.8	70.5	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
22	Occipito-Frontal Diameter	63.5	64.2	65.4	69.2	73.1	74.2	74.9	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
23	Occipito-Frontal Diameter	67.4	68.2	69.3	73.3	77.3	78.5	79.2	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
24	Occipito-Frontal Diameter	71.2	72.0	73.2	77.3	81.5	82.6	83.4	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
25	Occipito-Frontal Diameter	74.9	75.7	76.9	81.2	85.4	86.7	87.4	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
26	Occipito-Frontal Diameter	78.4	79.2	80.5	84.9	89.3	90.5	91.4	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
27	Occipito-Frontal Diameter	81.7	82.6	83.9	88.4	93.0	94.3	95.1	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
28	Occipito-Frontal Diameter	84.9	85.8	87.1	91.8	96.5	97.8	98.7	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
29	Occipito-Frontal Diameter	87.9	88.8	90.2	95.0	99.8	101.2	102.1	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
30	Occipito-Frontal Diameter	90.7	91.6	93.1	98.0	103.0	104.4	105.3	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
31	Occipito-Frontal Diameter	93.3	94.3	95.7	100.9	106.0	107.4	108.4	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
32	Occipito-Frontal Diameter	95.7	96.6	98.2	103.5	108.8	110.3	111.3	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
33	Occipito-Frontal Diameter	97.8	98.8	100.4	105.9	111.4	112.9	113.9	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
34	Occipito-Frontal Diameter	99.6	100.7	102.3	108.0	113.7	115.4	116.4	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
35	Occipito-Frontal Diameter	101.2	102.3	104.0	110.0	115.9	117.6	118.7	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
36	Occipito-Frontal Diameter	102.5	103.6	105.4	111.6	117.9	119.7	120.8	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
37	Occipito-Frontal Diameter	103.4	104.6	106.5	113.1	119.7	121.5	122.7	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
38	Occipito-Frontal Diameter	104.0	105.3	107.3	114.2	121.2	123.2	124.5	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
39	Occipito-Frontal Diameter	104.3	105.6	107.7	115.1	122.6	124.7	126.0	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
40	Occipito-Frontal Diameter	104.1	105.6	107.8	115.8	123.7	126.0	127.4	grow_fetal-ct_ofd_table.txt	2025-09-26T17:27:11
